Date,Open,High,Low,Close,Volume
12/16/2018 13:00,85.72,85.99,85.55,85.69,496.7
12/16/2018 14:00,85.69,85.69,84.64,84.97,977.22
12/16/2018 15:00,84.97,85.54,84.87,85.42,237.78
12/16/2018 16:00,85.42,85.89,85.04,85.3,716.47
12/16/2018 17:00,85.3,85.3,85,85,355.79
12/16/2018 18:00,85,85.51,84.91,85.11,418.36
12/16/2018 19:00,85.11,85.95,85.04,85.72,445.87
12/16/2018 20:00,85.72,85.72,85.35,85.35,901.85
12/16/2018 21:00,85.35,85.42,83.8,83.8,1039.88
12/16/2018 22:00,83.8,84.27,83.5,84.08,1002.78
12/16/2018 23:00,84.08,84.25,83.5,83.76,746.35
12/17/2018 0:00,83.76,84.74,83.64,84.3,1086.78
12/17/2018 1:00,84.3,84.42,83.77,83.79,314.56
12/17/2018 2:00,83.79,84.09,83.5,83.92,680.01
12/17/2018 3:00,83.92,84.17,83.92,84.14,445.27
12/17/2018 4:00,84.14,84.19,83.91,84.11,1290.92
12/17/2018 5:00,84.11,84.29,84,84.18,732.95
12/17/2018 6:00,84.18,84.7,84.17,84.35,1214.89
12/17/2018 7:00,84.35,85.75,84.22,85.46,1188.67
12/17/2018 8:00,85.46,86.13,85.34,85.66,8321.63
12/17/2018 9:00,85.66,85.72,85.19,85.19,5231.13
12/17/2018 10:00,85.19,85.4,84.93,85.04,1416.61
12/17/2018 11:00,85.04,85.47,84.83,85.46,2613.18
12/17/2018 12:00,85.46,89.97,85.3,89.64,13255.23
12/17/2018 13:00,89.64,90.47,88.81,89.33,9924.92
12/17/2018 14:00,89.33,89.61,88.84,88.98,2656.21
12/17/2018 15:00,88.98,89.51,88.75,89.3,3718.36
12/17/2018 16:00,89.3,91.91,89.3,90.73,3482.35
12/17/2018 17:00,90.73,91.49,90.46,90.89,1643.9
12/17/2018 18:00,90.89,95.93,90.89,95.68,11189.78
12/17/2018 19:00,95.68,96.78,94.37,95.24,4902.84
12/17/2018 20:00,95.24,96.33,94.85,94.85,6006.67
12/17/2018 21:00,94.85,95.12,93.01,93.94,2926.17
12/17/2018 22:00,93.94,94.74,93.02,93.23,1833.66
12/17/2018 23:00,93.23,94.18,93.11,93.98,1109.2
12/18/2018 0:00,93.98,96.3,93.3,93.44,4172.75
12/18/2018 1:00,93.44,93.63,93,93.43,919.13
12/18/2018 2:00,93.43,94.24,93.19,93.41,2443.84
12/18/2018 3:00,93.41,94.98,93.23,94.98,1506.22
12/18/2018 4:00,94.98,94.98,93.84,93.85,1949.98
12/18/2018 5:00,93.85,93.85,92.12,92.3,1306.89
12/18/2018 6:00,92.3,93.13,92.19,92.93,580.04
12/18/2018 7:00,92.93,93.73,92.86,93.36,650.57
12/18/2018 8:00,93.36,93.38,91.65,91.85,4018.76
12/18/2018 9:00,91.85,92.4,91.56,91.92,1488.65
12/18/2018 10:00,91.92,93.23,91.5,92.3,2154.4
12/18/2018 11:00,92.3,94.45,91.49,93.07,6098.42
12/18/2018 12:00,93.07,93.45,92.35,93.01,1447.34
12/18/2018 13:00,93.01,95.21,92.69,94.3,2960.97
12/18/2018 14:00,94.3,96.03,94.09,95.5,2114.07
12/18/2018 15:00,95.5,95.81,93.63,93.8,2404.83
12/18/2018 16:00,93.8,95.23,93.62,94.3,2108.46
12/18/2018 17:00,94.3,95,93.57,94.14,1828.53
12/18/2018 18:00,94.14,94.21,92.12,92.97,5050.85
12/18/2018 19:00,92.97,93.65,92.41,93.53,2815.36
12/18/2018 20:00,93.53,94.2,92.55,92.89,1499.47
12/18/2018 21:00,92.89,94.01,92.85,93.94,1872.42
12/18/2018 22:00,93.94,95.49,93.91,95.13,3227.87
12/18/2018 23:00,95.13,101.59,95.13,100.89,13834.06
12/19/2018 0:00,100.89,101.6,99.61,101.16,4335.43
12/19/2018 1:00,101.16,104.72,100.76,103.11,8725.65
12/19/2018 2:00,103.11,104.41,101.85,102.95,6481.87
12/19/2018 3:00,102.95,104.4,102.68,103.22,5333.06
12/19/2018 4:00,103.22,103.44,100.71,101.15,4334.96
12/19/2018 5:00,101.15,102.83,101.15,102.76,2654.13
12/19/2018 6:00,102.76,103.42,101.31,101.62,3415.73
12/19/2018 7:00,101.62,101.98,100.23,101.04,6604.77
12/19/2018 8:00,101.04,101.61,100.54,101.41,2623.88
12/19/2018 9:00,101.41,102.82,101.11,101.6,3152.1
12/19/2018 10:00,101.6,103.78,101.16,103.47,3437.92
12/19/2018 11:00,103.47,104.35,102.69,103.78,9351.64
12/19/2018 12:00,103.78,105.5,102.68,104.7,17887.45
12/19/2018 13:00,104.7,108.13,104.42,105.65,16630.87
12/19/2018 14:00,105.65,106.3,103.6,103.79,12857.6
12/19/2018 15:00,103.79,104.69,102.01,102.78,9108.04
12/19/2018 16:00,102.78,104.61,102.25,104.49,5760.49
12/19/2018 17:00,104.49,105.26,103.35,104.06,2665.72
12/19/2018 18:00,104.06,105.36,102.79,104.73,2273.59
12/19/2018 19:00,104.73,104.9,102.92,102.92,6412.12
12/19/2018 20:00,102.92,103.13,101.1,102.49,4093.59
12/19/2018 21:00,102.49,102.49,98.25,98.81,3790.39
12/19/2018 22:00,98.81,100.9,98.7,100.17,2244.64
12/19/2018 23:00,100.17,100.83,99.23,99.27,2236.37
12/20/2018 0:00,99.27,100.47,98,100.31,9905.18
12/20/2018 1:00,100.31,102.16,100.05,101.01,4139.8
12/20/2018 2:00,101.01,101.95,100.34,100.9,2372.64
12/20/2018 3:00,100.9,101.05,100.06,100.35,556.72
12/20/2018 4:00,100.35,101.78,100.09,101.43,2915.15
12/20/2018 5:00,101.43,101.43,99.73,100.02,629.01
12/20/2018 6:00,100.02,100.55,99.47,100.07,612.76
12/20/2018 7:00,100.07,101.2,99.86,101.2,807.62
12/20/2018 8:00,101.2,108.69,101.09,107.18,14205.7
12/20/2018 9:00,107.18,110.28,107.15,109.77,8836.06
12/20/2018 10:00,109.77,110.7,108.1,109.12,5453.4
12/20/2018 11:00,109.12,110.55,107.64,107.95,7219.06
12/20/2018 12:00,107.95,109.8,107.94,109.59,3902.38
12/20/2018 13:00,109.59,110.39,106.89,107.97,7099.53
12/20/2018 14:00,107.97,108.76,107.57,108.4,1884.69
